"Company","Job Title","Location","Actively Recruiting Indicator","LI Job Post URL","Perform Search","Link - Search Results","Find Domain from Company Name","Domain","People Search (Find People from Java Jobs Deduped Companies Table (5 April 2024)) - 2024-04-05T15:12:38.406Z"
"BeaconFire Inc.","Java Full Stack Developer","New Jersey, United States (On-site)","","https://www.linkedin.com/jobs/view/3870575298/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=HSQiAypeCE55pN7tuZ5%2FHw%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/beaconfireinc (+4)","https://www.linkedin.com/company/beaconfireinc","No Result Found",,
"TomTom","Software Engineer II","Lebanon, NH (Hybrid)","1 connection works here","https://www.linkedin.com/jobs/view/3870954777/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=9HnVvDL9L6wMmWD5zVpO0A%3D%3D&trk=flagship3_search_srp_jobs","https://nl.linkedin.com/company/tomtom (+4)","https://nl.linkedin.com/company/tomtom","tomtom.com","tomtom.com",
"Fiori Technology Solutions Inc","Web Developer","United States (Remote)","","https://www.linkedin.com/jobs/view/3870557252/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=zP5TvAaZR5RK5vS6%2FkCRMQ%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/fiorit-technology-solutions (+4)","https://www.linkedin.com/company/fiorit-technology-solutions","No Result Found",,
"Gigster","* Associate Back-End Software Developer, Gigster Network","United States (Remote)","","https://www.linkedin.com/jobs/view/3870953349/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=byxVUKxgxilnmdqDHLzuMQ%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/gigster (+4)","https://www.linkedin.com/company/gigster","gigster.com","gigster.com",
"Deloitte","Contractor Applications Support Specialist (Remote)","New York, United States (Remote)","5 connections work here","https://www.linkedin.com/jobs/view/3871391593/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=h1BcUOfhA4iTuXPMumlFVQ%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/deloitte (+4)","https://www.linkedin.com/company/deloitte","deloitte.com","deloitte.com",
"JPMorgan Chase & Co.","Senior Manager of Software Engineering","Wilmington, DE","2 company alumni work here","https://www.linkedin.com/jobs/view/3866370320/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=Otw3M4ac%2FwlbvF7XLdGMyw%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/jpmorganchase (+4)","https://www.linkedin.com/company/jpmorganchase","jpmorganchase.com","jpmorganchase.com",
"Infosys","Lead Consultant","United States (Remote)","1 company alum works here","https://www.linkedin.com/jobs/view/3869976952/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=5IhccGf4OXvJlQUprDFR0g%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/infosys (+4)","https://www.linkedin.com/company/infosys","infosys.com","infosys.com",
"Capital One","Senior Software Engineer, Full Stack (Java, Go)","Richmond, VA","1 connection works here","https://www.linkedin.com/jobs/view/3871142157/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=AGi%2Fn2aoPDJfLMHf9svYBA%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/capital-one (+4)","https://www.linkedin.com/company/capital-one","capitalone.com","capitalone.com",
"ClearanceJobs","Digital Threads Integration Engineer with Security Clearance","Washington, DC","","https://www.linkedin.com/jobs/view/3874427366/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=HYgK3%2BMEwqxNCpAiUaOORg%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/clearancejobs (+4)","https://www.linkedin.com/company/clearancejobs","clearancejobs.com","clearancejobs.com",
"Applied Materials","Manufacturing Engineer I","Gloucester, MA (On-site)","1 school alum works here","https://www.linkedin.com/jobs/view/3869998367/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=z%2B3MCp3Vl97vkA3g%2FWqxig%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/applied-materials (+4)","https://www.linkedin.com/company/applied-materials","appliedmaterials.com","appliedmaterials.com",
"Jobot","Project Engineer - REMOTE!","Atlanta, GA (Remote)","","https://www.linkedin.com/jobs/view/3872957395/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=IL6j7FjqzuQ%2BNGfK3OPRLw%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/jobot (+4)","https://www.linkedin.com/company/jobot","jobot.com","jobot.com",
"Deltek","Sr. Project Manager Agile Software Development","United States (Remote)","1 school alum works here","https://www.linkedin.com/jobs/view/3868424847/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=vuttrK%2Bt%2BKWBXcyAW%2BgUug%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/deltek (+4)","https://www.linkedin.com/company/deltek","govwin.com","govwin.com",
"Codeworks IT Careers","Business Analyst","Wisconsin, United States (Remote)","","https://www.linkedin.com/jobs/view/3870542927/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=st8cvmfXGmCrRHIdEmiBog%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/codeworks-inc. (+4)","https://www.linkedin.com/company/codeworks-inc.","No Result Found",,
